name,id,privacy
Bernie Sanders' Dank Meme Stash,1.01307E+15,OPEN
BERNIE SANDERS IS GOING TO WIN IN 2020,4.95977E+14,CLOSED
President Bernie Sanders,8.93886E+14,OPEN
Bernie Sanders Revolutionaries,2.00706E+14,OPEN
Bernie Sanders Megagroup 2020,1.81963E+15,OPEN
Over 50 For Bernie Sanders!,1.05287E+15,OPEN
The Bernie Sanders Social Revolution,1.72674E+15,OPEN
Bernie Sanders: Progressive Narrative,5.61466E+14,CLOSED
The Fraud of Bernie Sanders,4.50679E+14,OPEN
BERNIE SANDERS OR BUST !!!,1.03909E+15,OPEN
United for Bernie Sanders,1.64283E+15,CLOSED
Optimists for Bernie Sanders!,1.58523E+15,CLOSED
Bernie Boomers [Bernie Sanders],5.07412E+14,CLOSED
Bernie Sanders is My Hero Two,1.00451E+15,OPEN
Friends Who Like Bernie Sanders For President 2016,1.26723E+14,OPEN
The Bernie Sanders Liberation Army,1.47222E+15,CLOSED
PATRIOT AMERICANS FOR DONALD TRUMP'',1.42475E+15,OPEN
The Real NEW Republican Party For Donald Trump for President 2017,1.98323E+14,CLOSED
Bernie Weight,3.31329E+14,CLOSED
Trump Nation,7.30133E+14,OPEN
President Trump's Americans,1.61891E+14,OPEN
Donald J Trump for the People,1.74887E+15,OPEN
Democrats United Against Trump,3.27826E+14,CLOSED
TRUE AMERICANS UNITE FOR PRES. DONALD TRUMP,5.21248E+14,OPEN
Donald Trumps GOP Teaparty,5.21839E+14,CLOSED
PRESIDENT TRUMP,6.2082E+14,CLOSED
STRONGER TOGETHER ( LIBERAL COALITION FORUM ),1.04963E+15,OPEN
Groper Trumps Clown University,1.17172E+15,CLOSED
Donald Trump - 2020,1.33731E+15,OPEN
Michigan Trump Republicans,1.40117E+15,OPEN
President Donald J. Trump,2.51433E+14,OPEN
Donald Trump,7.77652E+14,OPEN
I AM THEREFORE I RESIST!,6.36733E+14,OPEN
He Is NOT MY PRESIDENT,3.21959E+14,CLOSED
American Patriots For President Trump,3.7027E+14,OPEN
Impeach Donald J. Trump,1.64161E+15,OPEN
Trumps Army,2.18058E+15,OPEN
Author Unknown,1.81934E+15,CLOSED
Tweeting Trump,1.88154E+15,OPEN
Stumpin For Trump!,1.56367E+15,CLOSED
THE PATRIOT NETWORK,4.07754E+14,OPEN
USA,1.61788E+15,CLOSED
HIPPIES FOR DEMOCRACY,1.60322E+15,OPEN
Sarah Huckabee Sanders Fans!,1.87099E+15,CLOSED
Donald Trump,40817676367,OPEN
The Deplorables and Basement Dwellers For Trump,1.17698E+15,OPEN
Sarah Huckabee Sanders Supporters Group,1.33413E+14,CLOSED
Trump-Presidency.com,1.63869E+15,OPEN
DEPLORABLE BIKERS FOR PRESIDENT TRUMP,1.58046E+15,CLOSED
RESIST!!,1.61012E+15,CLOSED
Official Dump The Trump Campaign,3.79577E+14,OPEN
Still With Hill,1.44306E+14,OPEN
So Called President,2.28797E+14,OPEN
The Deplorables,1.22036E+14,OPEN
Anti Donald Trump,2.92325E+14,CLOSED
Anti Trump Group ã¢,6.14439E+14,CLOSED
Making America Greater Together!,5.4446E+14,OPEN
PROGRESSIVE ACTION,1.06122E+15,CLOSED
"Justice For Bernie ""The Gathering Place""",1.76611E+15,OPEN
Team Donald Trump - Largest Group,1.23872E+15,CLOSED
Breitbart,4.70359E+14,CLOSED
HILLARY CLINTON FOR PRISON,8.24677E+14,CLOSED
The Trump Machine,1.13348E+15,OPEN
#DemEnterOpen,1.07278E+15,OPEN
Impeach Trump aka F'ckface Von Clownstick,1.48345E+14,OPEN
#SHEPERSISTED,2.55713E+14,CLOSED
On The Left With Jeremy Corbyn,1.13517E+15,OPEN
Veterans Against Republican Ignorance,2.69947E+14,OPEN
Donald Trump President,1.49395E+15,OPEN
PRESIDENT DONALD TRUMP,5.15284E+14,OPEN
Impeach Donald Trump Now!,3.30563E+14,OPEN
Liberal Alliance  to defeat  Donald Trump and Bernie Sanders,1.57599E+15,CLOSED
People Who Are Tired Of Hearing About Bernie Sanders,9.00408E+14,CLOSED
Carnegie Mellon University for Bernie Sanders,9.90168E+14,OPEN
538 Regulars,6.18349E+14,CLOSED
It's all about US Support Trump,5.3213E+14,CLOSED
Friends Who Like Trump Landslide 2016,1.09239E+15,CLOSED
The Voice of Trump's Deplorables,7.90986E+14,OPEN
President Trump,1.96513E+14,CLOSED
Sharing News for Democrats,1.11938E+15,OPEN
PRESIDENT DONALD J TRUMP,3.90031E+14,CLOSED
