name,id,privacy
Donald Trump,40817676367,OPEN
Donald J. Trump Is Our 45th President,1.72906E+14,OPEN
Donald Trump,7.77652E+14,OPEN
Donald J. Trump,2.56684E+14,OPEN
Donald Trump Is Not My President!,9.68022E+14,OPEN
Surely This Will Stop Donald Trump,1.45461E+15,CLOSED
Donald Trump America's President (c),1.97544E+14,OPEN
Mexicans for Donald Trump,1.62567E+15,OPEN
Donald Trump NationÏÉ,1.78549E+15,OPEN
PATRIOT AMERICANS FOR DONALD TRUMP'',1.42475E+15,OPEN
I hate Donald Trump but can't post it non stop on my timeline.,1.21968E+15,CLOSED
Donald Trumps GOP Teaparty,5.21839E+14,CLOSED
We Love Donald Trump!,1.46015E+15,OPEN
THE RESISTANCE AGAINST DONALD TRUMP,1.81327E+15,CLOSED
President Donald J. Trump,2.51433E+14,OPEN
Donald J Trump for the People,1.74887E+15,OPEN
President Donald Trump Supporters,6.86859E+14,OPEN
Donald Trump - 2020,1.33731E+15,OPEN
Impeach Donald J. Trump,1.64161E+15,OPEN
DONALD J. TRUMP AND REAL AMERICA,2.26198E+14,CLOSED
Donald Trump Independent 2016,1.01395E+15,CLOSED
PRESIDENT DONALD J TRUMP,3.90031E+14,CLOSED
Donald Trump - Americas Greatest President,7.23475E+14,OPEN
Donald Trump - Make America Great Again,1.00229E+15,CLOSED
Mr. President Donald J. Trump,1.66934E+15,OPEN
Americans For Donald Trump,3.98002E+14,CLOSED
Donald J. Trump for Law & Order,1.75295E+15,CLOSED
Donald Trump Represents the people's Movement for the next 8 years & on.,1.54966E+14,OPEN
CANADIANS 4 DONALD TRUMP,1.57135E+15,CLOSED
President Donald J Trump (c),1.59562E+15,OPEN
Impeachment of Donald J. Trump,1.69915E+15,CLOSED
The Real NEW Republican Party For Donald Trump for President 2017,1.98323E+14,CLOSED
President Donald J. Trump,8.32976E+14,CLOSED
TRUE AMERICANS UNITE FOR PRES. DONALD TRUMP,5.21248E+14,OPEN
"America's Pumped, America Voted Donald Trump !",1.62934E+15,OPEN
something about donald trump being literally hitler,8.86273E+14,OPEN
Trump Nation,7.30133E+14,OPEN
Trump 2020!,1.39191E+15,OPEN
Trump-Presidency.com,1.63869E+15,OPEN
Trump Keep America Great 2020,1.68155E+15,OPEN
Groper Trumps Clown University,1.17172E+15,CLOSED
Trumps Army,2.18058E+15,OPEN
Train News *TRUMP* DEPLORABLES,2.46462E+14,OPEN
CHRISTIANS WHO SUPPORT DONALD TRUMP AS PRESIDENT!,4.33259E+14,CLOSED
TRUMP IT,1.85836E+15,CLOSED
Friends Who Like Donald J. Trump,1.03749E+14,CLOSED
All Who Support President Donald J. Trump,1.78417E+15,CLOSED
Trump Supporters Unite Making America Great Again,1.63225E+15,CLOSED
Playa Haters Ball- Donald Trump edition,1.23022E+15,CLOSED
Bikers For Trump California (Official),1.90869E+15,CLOSED
Michigan Trump Republicans,1.40117E+15,OPEN
Stumpin For Trump!,1.56367E+15,CLOSED
DEPLORABLES LOVE TRUMP A TRUE AMERICAN PATRIOT,1.76365E+15,CLOSED
PRESIDENT TRUMP (God's  CHOICE),9.80353E+14,CLOSED
TRUMPNATIONUSA - Pray & Vote,6.81459E+14,OPEN
Trump Talking Points Journal,1.05068E+15,CLOSED
Trump for We The People,2.87797E+14,CLOSED
Silence is Consent - TRUMP 2020,1.17904E+15,CLOSED
Patriots For Trump,1.84856E+15,OPEN
Trump Fans and supporters-International,2.80989E+14,OPEN
TRUMP 2016- a reformer's storm,1.21477E+15,OPEN
PRESIDENT TRUMP,6.2082E+14,CLOSED
Trump Road To Re-Election 2020,1.83504E+15,OPEN
March 4 Trump,1.38802E+15,OPEN
TRUMP: THE POLITICAL REVOLUTION,1.97226E+14,CLOSED
IMPEACH THIS ORANGE CLOWN ONCE & FOR ALL!,2.85199E+14,CLOSED
tRump  HATERS CONNECT..one small voice,3.65944E+14,CLOSED
Christians for President Trump 2020,2.69471E+14,CLOSED
Tweeting Trump,1.88154E+15,OPEN
Trump and The People's Revolution,1.64031E+15,CLOSED
Anti-Trump Team,1.12349E+15,OPEN
HARDCORE DEPLORABLES,3.96049E+14,OPEN
TRUMP WORLD,1.48601E+15,OPEN
Vietnam Veterans for Trump,6.32815E+14,OPEN
So Called President,2.28797E+14,OPEN
Korn Enthuasists For/Against Donald Trump,1.54219E+15,CLOSED
WOMEN FOR TRUMP,3.56214E+14,CLOSED
Reagan Conservatives Against The Trump Cult,1.6232E+15,CLOSED
Over 50 For Bernie Sanders!,1.05287E+15,OPEN
People United Against Trump,6.98888E+14,CLOSED
Against Trump! We stand in UNITY against Don the Con,1.58092E+15,CLOSED
It's all about US Support Trump,5.3213E+14,CLOSED
LOHCFT Ladies of Hunterdon County for Trump,6.48756E+14,CLOSED
Conservative Strong,4.2123E+14,CLOSED
President Trump,1.96513E+14,CLOSED
Trump In Check,1.80234E+15,CLOSED
Keep America Great,3.18603E+14,CLOSED
The Fraud of Bernie Sanders,4.50679E+14,OPEN
TRUMPOLOGY (c) 100%Trump,6.58255E+14,OPEN
Women SCOUTS for TRUMP (c),1.69217E+15,OPEN
Americans for Trump 2020,8.17195E+14,CLOSED
Christians for Trump 2020,9.81549E+14,CLOSED
We Support President Trump 100%,1.8467E+15,CLOSED
Americans for PRESIDENT TRUMP å©,3.47418E+14,CLOSED
The Midnight Express #PresidentTrump,1.70304E+14,OPEN
"Trump All 50 States ""United We Stand""",1.69563E+15,CLOSED
TRUMP & PENCE 2016 / 2020 !,1.75838E+15,CLOSED
United States of Trumpmerica!,9.84558E+14,OPEN
We Will Always Support Trump.,4.01638E+14,CLOSED
2017 TRUMP STREET,1.70706E+15,OPEN
Trump! America First!,1.12203E+15,CLOSED
We Are TRUMP SUPPORTERS,3.05266E+14,CLOSED
A Million Canadian Deplorables March Against Trudeau,7.39224E+14,CLOSED
Pussy Grabbing Deplorables for Trump,1.80416E+15,CLOSED
California MAGA,1.90849E+15,CLOSED
Christians United for America,1.25924E+15,CLOSED
Tomi Lahren Fans,5.79593E+14,CLOSED
Trump Connecticut,1.12249E+15,OPEN
The real deal to heal America! Trump the man with a plan.,2.7255E+14,OPEN
American Patriots,1.65735E+15,CLOSED
TRUMP OF CHAMPIONS,1.05233E+15,OPEN
Sean Hannity FANS,1.1706E+15,OPEN
PROUD DEPLORABLES,1.70645E+15,CLOSED
Trump _ü Loves America,7.26906E+14,CLOSED
United 3%ERS (Restore the REPUBLIC),7.16417E+14,CLOSED
Trump Forever,9.26835E+14,OPEN
Deplorables For Trump,1.64949E+15,CLOSED
Americans for President Trump,4.47556E+14,CLOSED
He Is NOT MY PRESIDENT,3.21959E+14,CLOSED
Great American Rebirth,4.42879E+14,OPEN
"UNITED DEMOCRATS, REPUBLICANS & LIBERTARIANS 4 TRUMP (taking back the USA)",1.64727E+15,OPEN
American Patriots For President Trump,3.7027E+14,OPEN
Patriots Who Love America and Donald Trump,1.66949E+15,CLOSED
Trump the last defense,9.28798E+14,CLOSED
MAGA Citizens,1.2579E+15,CLOSED
WE GOT TRUMP TO 1600 PENNSYLVANIA AVE II,1.3379E+15,CLOSED
Basket Of Deplorables,1.8563E+15,CLOSED
#Mogul Trump's Conservatives,5.46471E+14,CLOSED
Trump Supporters,2.39035E+14,CLOSED
Citizens United Against Trump,1.70664E+14,CLOSED
USA,1.61788E+15,CLOSED
Friends of OUR President Trump,1.58095E+15,OPEN
All Things #trumpvictory,1.6716E+15,OPEN
Trumpify (c),4.48268E+14,OPEN
I HATE HILLARY AND MICHELLE,4.69943E+14,CLOSED
HIPPIES FOR DEMOCRACY,1.60322E+15,OPEN
Pilots for President Trump,1.65442E+15,CLOSED
The Trump Factor Indiana: The Journey to TRiUMPh,1.64341E+15,CLOSED
The Trump Factor: Utah,1.63324E+15,OPEN
Sarah Huckabee Sanders Supporters Group,1.33413E+14,CLOSED
WE CARE ABOUT AMERICA,5.77098E+14,CLOSED
DEPLORABLE BIKERS FOR PRESIDENT TRUMP,1.58046E+15,CLOSED
Trump Squad USA,2.78907E+14,OPEN
Basket of Deplorables,6.806E+14,CLOSED
UnCensored News,2.66114E+14,OPEN
League Of Extraordinary Conservatives,1.85774E+15,CLOSED
THE TRUMP FACTOR MONTANA: Putting America First,1.63273E+15,OPEN
NorthWest Trump Alliance for Change,2.6967E+14,CLOSED
TRUMP DEPLORABLES,1.71732E+15,OPEN
Trump's New Generation (c),1.49075E+15,OPEN
