name,id,privacy
Hillary Clinton Michelle Obama 2020,6.84145E+14,CLOSED
HILLARY CLINTON FOR PRISON,8.24677E+14,CLOSED
HILLARY CLINTON FOR PRISON,1.28674E+15,CLOSED
HILLARY CLINTON'S  ACCOMPLISHMENTS GROUP,3.94288E+14,OPEN
"FUCK YOU HILLARY CLINTON, & THE DNC, WE HATE YOU!",9.47092E+14,OPEN
Friends Who Like Hillary Clinton,7.48067E+14,OPEN
Madame PRESIDENT HILLARY CLINTON on 12/19/16!!!,1.77702E+15,CLOSED
Hillary Clinton's Pantsuits,2.53322E+14,CLOSED
EXPOSE HILLARY CLINTON (LOCK HER UP),1.50218E+15,CLOSED
Only Hillary Clinton will get my vote!,1.01054E+15,OPEN
Democrats & Friends of Hillary Clinton,1.09047E+15,CLOSED
Humayun Chowdhury for Hillary Clinton,1.27742E+15,OPEN
Hillary Clinton Dead Pool,3.03639E+14,OPEN
Hillary Clinton Express,2.9203E+11,OPEN
NEVER HILLARY CLINTON,1.08315E+15,OPEN
Hillary Clinton Is Wrong For America,1.46211E+15,OPEN
Hillary Clinton - On To Victory,1.02748E+15,CLOSED
Hillary Clinton Fan Club.,5.87876E+14,CLOSED
Dear Hillary Clinton: Your country still needs you,1.84743E+15,CLOSED
"Hillary Clinton's Reluctant, Half-Hearted Support Stash",2.28403E+14,OPEN
THE REAL PRESIDENT HILLARY CLINTON,2.21469E+14,OPEN
Friends Who Like Hillary Clinton 2020,1.01028E+15,CLOSED
Hillary Clinton,1.30797E+15,CLOSED
Hillary Clinton,7.87436E+14,OPEN
Hillary Clinton Deserves a Frontal Lobotomy,1.66105E+15,CLOSED
Never Hillary Clinton- Trump Supporters Exclusively,1.02727E+15,CLOSED
Hillary Clinton - Our President,1.24758E+15,CLOSED
Hillary Clinton 2016,4.07111E+14,OPEN
Hillary Clinton for prison 2017,9.54214E+14,CLOSED
News Clinton Should Know,1.89777E+14,OPEN
Hillary Clinton supporters Club,5.88955E+14,OPEN
Hillary Clinton For President,1.63114E+15,OPEN
"Supporters of ""The People's President"", Hillary Rodham Clinton",35102003109,CLOSED
Hillary Clinton for President 2016,5.38985E+14,OPEN
Hillary Clinton vrs Donald Trump,1.10601E+15,OPEN
HILLARY*.CLINTON*.4PRESIDENT.and.TIM.KAINE.4VICE.PRESIDENT (H.T.K.),2.06944E+14,OPEN
HILLARY*.CLINTON*.4PRESIDENT.and.BERNIE.SANDERS.4VICE.PRESIDENT+,1.23851E+15,OPEN
FIRST LADIES FOR HILLARY CLINTON FOR PRESIDENT,1.60899E+15,CLOSED
Hillary Clinton Next U.S President,1.5941E+15,OPEN
Dear Hillary Rodham Clinton,3.94117E+14,OPEN
Dartmouth for Hillary Clinton,7.62805E+14,OPEN
"REGISTER TO VOTE, VOTE IN DEMOCRATS & VOTE HILLARY CLINTON FOR PRESIDENT",1.42714E+15,CLOSED
HILLARY CLINTON FOR PRESIDENT 2016,1.05857E+15,OPEN
Hillary Clinton 2k16,1.57171E+15,CLOSED
Feminists for Hillary Clinton,7.36519E+14,CLOSED
Stop Hillary Clinton,1.13775E+15,OPEN
1 Million to Defeat Hillary Clinton,4.13188E+14,CLOSED
Hillary Clinton Fan Club in Bangladesh.,1.73415E+15,CLOSED
Clinton Swap & Shop,3.50164E+14,CLOSED
Hillary Clinton's Dank Meme stash,1.7047E+15,CLOSED
Guyanese For Hillary Clinton 2016,1.79268E+14,OPEN
Vote for Hillary Clinton,6.66608E+14,OPEN
Hillary Clinton Supporters Club of Bangladesh,5.36047E+14,OPEN
Humayun Chowdhury  for Hillary Clinton,3.08111E+14,OPEN
Clinton Democrats,1.65364E+15,CLOSED
Hillary Clinton our next USA president,2.05538E+14,OPEN
WE LOVE HILLARY CLINTON,1.74662E+14,OPEN
Friends Who Like Hillary Clinton,2.55771E+14,OPEN
Neighbors of Hillary Clinton in Chappaqua for Donald  Trump for President,1.5263E+15,CLOSED
Real Veterans Against Donald Trump and Hillary Clinton,1.74373E+15,CLOSED
Africans vote for HILLARY CLINTON,1.80984E+15,OPEN
Friends Who Like Hillary Clinton,1.68862E+15,CLOSED
Clintonville and Worthington for Hillary,1.64077E+15,OPEN
not Hillary Clinton for president,1.61E+15,CLOSED
HillaryClinton Voters vs DonaldTrump Voters,1.74963E+15,OPEN
Nigeria Supporters for Hillary Clinton,1.8077E+14,OPEN
Fans of Hillary Clinton,1.09189E+15,OPEN
Friends Who Like Hillary Clinton,5.13047E+14,CLOSED
People that believe Hillary Clinton is a lying peace of Crap,1.67775E+15,OPEN
Vote For Hillary Clinton For President,3.93932E+14,OPEN
Friends Who Like Hillary Clinton,1.50279E+15,OPEN
Friends who like Hillary Clinton,1.66897E+15,OPEN
Hillary Clinton /Tim Kaine,9.1006E+14,OPEN
Friends Who Like Hillary Clinton,1.65933E+15,CLOSED
I'm a Clinton Democrat,1.45597E+15,CLOSED
Clinton Area Weekly Photo Challenge,2.24986E+14,CLOSED
Public Corruption Monitor and Clinton Timeline,1.69966E+15,OPEN
Elizabeth Warren Fan Club (TM),2.27834E+14,CLOSED
Breaking News: Clinton,3.2866E+14,OPEN
Clintons for Trump,4.31262E+14,OPEN
LATINOS UNIDOS PARA VOTAR POR MADAME HILLARY CLINTON,1.03639E+15,OPEN
CLINTON SWAP,1.41407E+15,OPEN
LGBTQ and STRAIGHT friendly for Hillary Clinton 2016,1.58556E+15,OPEN
Michelle Obama and Hillary Clinton For Pres and Vice 2016!!!!!!,1.27819E+14,OPEN
Petition to Draft Hillary Clinton for President in 2012,1.5773E+14,CLOSED
Petition Hillary Clinton: MEK For Iran Freedom,2.26196E+14,OPEN
Who hates Donald trump And Hillary Clinton or Obama,6.58082E+14,OPEN
Friends Who Like Hillary Clinton,5.80219E+14,OPEN
Friends Who Like Hillary Clinton,4.28762E+14,CLOSED
CLINTON HOTEL AFTER PARTY,1.33066E+15,OPEN
Friends Who Like Hillary Clinton,5.44608E+14,CLOSED
¯€ôã¯£¯µ¯øôâ¯€¯Á ¯€ôãôÉ¯_¯Â¯¬ôöô  ¯¬¯µô¯_¯© ÛÛ_Hillary ClintonÛ_Û,1.73026E+15,CLOSED
2016-2024 PRES¡DENT H¡LLARY CL¡NTON,1.69167E+15,OPEN
"Official Petition Against Hillary Clinton ""They Look Like Facebook"" Insult",6144063158,OPEN
IRAN for MRS. HILLARY CLINTON,3.0552E+14,OPEN
Friends Who Like Hillary Clinton,5.36104E+14,CLOSED
1.Day President Hillary Clinton PRES¡DENT,3.55487E+14,OPEN
LGBT ALL IN FOR HILLARY CLINTON 2016,1.94479E+14,OPEN
Soutien ÌÊ Hillary Clinton   Stronger together!,7.00343E+14,OPEN
El PASO SAYS NO TO HILLARY CLINTON,1.43926E+15,CLOSED
Sarah Palin is NOT Hillary Clinton,22583199522,OPEN
The Campaign to Elect Hillary Clinton in 2012,1.96351E+14,OPEN
VOTE FOR HILLARY CLINTON 2016 PRESIDENT OF USA WITH ALL FANS SINCE 1990,1.89576E+14,OPEN
Keep America Great,3.18603E+14,CLOSED
Indivisible NW Illinois 17th District Rebels,5.91596E+14,CLOSED
Clinton Correctional Strong,1.8725E+14,CLOSED
Our Revolution Michigan 4th Congressional District,2.26318E+14,OPEN
